trade_date,account,coin,sentiment_bucket,trades,pnl,win_rate,notional,fg_value_mean,pnl_per_notional
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,ZRO,Neutral,240,145563.448374,0.9875,438223.58,50.0,0.3321670832363699
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@10,Neutral,1,0.0,0.0,0.05,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@12,Neutral,1,0.0,0.0,0.01,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@16,Neutral,1,0.0,0.0,0.04,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@17,Neutral,1,0.0,0.0,0.0,50.0,
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@2,Neutral,1,0.0,0.0,0.05,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@24,Neutral,1,0.0,0.0,0.0,50.0,
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@26,Neutral,1,0.0,0.0,0.05,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@29,Neutral,1,0.0,0.0,0.03,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@31,Neutral,1,0.0,0.0,0.0,50.0,
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@32,Neutral,1,0.0,0.0,0.01,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@33,Neutral,1,0.0,0.0,0.04,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@34,Neutral,1,0.0,0.0,0.0,50.0,
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@35,Neutral,1,0.0,0.0,0.09,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@36,Neutral,1,0.0,0.0,0.01,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@37,Neutral,1,0.0,0.0,0.0,50.0,
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@41,Neutral,1,0.0,0.0,0.06,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@44,Neutral,1,0.0,0.0,0.0,50.0,
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@47,Neutral,1,0.0,0.0,0.04,50.0,0.0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,@53,Neutral,1,0.0,0.0,0.0,50.0,
